username,text,tweetcreatedts,hashtags,acctdesc,location,followers,totaltweets,usercreatedts,retweetcount
ChristopherMUFC,"PENALTY 😂😂😂😂😂😂

Crystal palace is sooooo useless",2020-10-03 13:07:18,[],"Manchester United 🔴🔴 • Son •  Brother • Friend •  Web Developer • Graphic Designer..

Jack needs to stop suspending my accounts ☠️",Beside Old Trafford,150,1433,2020-10-02 11:51:08,0
lorfadi,"72: Second Palace sub. 

⬅️ McArthur 
➡️ Riedewald

🔵 2-0 🦅 

#CPFC | #CHECRY https://t.co/1xa91t6w8E",2020-10-03 13:07:18,"['CPFC', 'CHECRY']","LORFADI



#kot loyal",Rhonda,4918,23243,2019-09-02 14:26:42,31
hungrytijaniro,"Time Werner vs Crystal Palace, movement, speed and deadly finishing. https://t.co/jasf7ZwAf0",2020-10-03 13:07:17,[],,,442,33910,2019-10-02 12:40:33,43
Mahmud_wazeeree,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:07:17,['CHECRY'],"Alhamdulillah, so much to be thankful for• @FCBarcelona⚽️• #Messi🐐",Kaduna,14372,97409,2013-09-12 18:48:55,120
Manuel_Bradley,Abeg wetin Chelsea vs Crystal Palace play las las?,2020-10-03 13:07:16,[],"Software Engineer| Counselor| Businessman| Bodybuilder| Believer| Dog Lover| WWE fan| Liverpool FC fan| IG: @bradnuel
For booking: bradnuel@gmail.com",Nigeria,7250,24900,2011-08-08 09:26:10,0
viccctorrrrrr_,so these are the crystal palace that beat united in old trafford . SADDD,2020-10-03 13:07:15,[],LOVER OF SPORTS ⚽️ 🏈 🏀 🎾. FC BARCELONA 🔴. MESSI 🐐. i live for my agenda against man united 👍🏽,"Lagos, Nigeria",908,22473,2014-08-08 19:32:01,0
TweetChelseaUK,"Tammy Abraham brought down inside the Palace box, Chelsea penalty.",2020-10-03 13:07:15,[],"News, Info, Stats, Quotes, Pictures & Rumours about #ChelseaFC | DM for all Enquiries.",London,42755,47602,2013-09-30 21:03:59,0
chrisgalton,@Ben_Paul It’s only Palace. We’ll beat Chelsea,2020-10-03 13:07:14,[],"Snr Consultant, Managed Services @Sprinklr; Married, 3 boys, beer fan. Views here are mine only. 🇨🇦🏴󠁧󠁢󠁥󠁮󠁧󠁿 #lufc #mot #alaw 💙🤍💛","Nova Scotia, Canada",1643,10315,2011-09-11 10:15:49,0
Capt_Aliyu,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:07:14,['CHECRY'],Bosses mindset😎||DM for advert/promotion||,"Abeokuta, Nigeria",53753,134378,2017-11-14 16:19:06,120
Chelsea_FL,"So close to 3 from Tammy Abraham #CHECRY 
https://t.co/Kty8wkF5HO",2020-10-03 13:07:13,['CHECRY'],"All the latest Chelsea news, rumours and opinion from @Football_LDN. Like us on Facebook for more: https://t.co/aSkwJ8Y3Eb","London, England",147296,108089,2010-02-04 15:54:16,1
Kene_n02,Ben Chilwell has lost possession (5) more times than any other player on the pitch against Crystal Palace in the opening 10 minutes.,2020-10-03 13:07:10,[],Old Account got suspended|@ManUtd🔴⚫|Good Vibes💯|Football & Life Enthusiast|Relatable Tweets (Some ain't mine)|Humanity is my religion❤,Nigeria,1451,30338,2020-03-31 19:17:36,587
Jnrbobby2,"Havertz finds Werner in space on the left just inside the Palace box after a brilliant run, but the German's subsequent strike is straight at Guaita, who collects comfortably. 

🔵 0-0 🦅 [20'] #CHECRY",2020-10-03 13:07:10,[],"Let Love Lead! Positivity.
Love God, football, boxing, music, nudes, blah blah.","Accra, Gh🇬🇭",244,16369,2019-12-12 12:16:24,185
5ve_k_,"Chelsea vs Crystal Palace LIVE HD #CHECRY #Livestream 
*Check pinned tweet for new broadcast if this one goes off.

(Follow @5ve_k_ and turn notifications on for all matches) 

https://t.co/58xeCvOgQn",2020-10-03 13:07:08,"['CHECRY', 'Livestream']","Follow and Keep it  @5ve_k_ for live updates. 
No room for rumors.",,1208,397,2015-12-15 16:57:28,7
El_desokey,"Goal - ZOUMA
Assist - CHILWELL

Chelsea 2-0 Crystal Palace (66 mins)

#FPL #CHECRY",2020-10-03 13:07:06,"['FPL', 'CHECRY']",مصري سوري والأرض فلسطينية ❤️,"Cairo, Egypt",3179,108961,2011-07-20 03:16:43,253
thefiyin_,"I don’t know if it’s just me, or maybe it’s because we playing palace, we definitely look good at back, @BenChilwell just needs to work on his positioning at the back, but overall it’s has been amazing today. #CHECRY #PremierLeague https://t.co/hxZj2jBcue",2020-10-03 13:07:02,[],Believer In Jesus. Music Director of Crested Worship @CrestedWorship. Founder of Grace Clan @graceclan_,"Lagos, Nigeria",1326,9112,2017-01-20 07:38:08,1
Iamtobiloba__,"Crystal Palace have had 0 shots on target. 

Silva and Zouma is the way forward man.",2020-10-03 13:07:02,[],"Future JeFf || posty || hazardeden || CR7|| Trae Young|| Memphis
|| OluwaBurna ||Student||
Ifb",OutSide ✨,3228,24096,2020-04-19 16:40:08,171
YvanMouba,Crystal Palace boss Hodgson says Zaha will STAY even if there is a late bid https://t.co/fRjfzD9lWL,2020-10-03 13:07:02,[],"🇨🇵📍Lyon .               
Arsenal FC x PSG x FCB ❤️⚽️                                         https://t.co/oN5Jm1lMZ6",France,481,16055,2012-04-27 10:24:27,20
1realVeo,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 13:07:02,[],"#EverythingByGrace💫 #OaksofRighteousness🌴
 @fcbarcelona @adisadelcollege 🏁🏁🏁🏁",dm me,3695,86395,2011-10-09 19:26:06,5571
wolexz_tricks,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:06:59,['CHECRY'],Unilag HR ¦ Graphics designer ¦ Tech talk ¦ Importer ¦ Always Online ¦ Full-time Black diamond. DM for promotion!,"Lagos, Nigeria",20285,98761,2011-06-26 05:43:49,120
FinnWonderland,"GOAL!

Chelsea 1-0 Crystal Palace (Chilwell, 50')",2020-10-03 13:06:59,[],"Official Twitter account I'm áril.. Even If Things are painful and tough, people should appreciate what it means to be Alive at All. #BeYourself",,2,380785,2017-07-14 06:12:32,60
_VictorAlf,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 13:06:59,[],,Ciudad Autónoma de Buenos Aire,835,39707,2011-07-25 15:03:20,5571
PhanieShoky,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:06:59,['CHECRY'],No Bad Blood 🩸 No Love Lost ❤️#Construction | Wizkid FC | | Chelsea FC | #OAU 👷👷,"Lagos, Nigeria",803,1821,2016-09-28 01:29:49,120
Futball_Pundit,"75'

Chelsea 2-0 Crystal Palace 

#PremierLeague #PL #CHECRY",2020-10-03 13:06:57,"['PremierLeague', 'PL', 'CHECRY']",Occasionally venting but always posting about football. Follow me on Instagram on the same handle and join our football community on Facebook.,,533,8102,2018-02-10 05:42:26,0
Emperorgozmok,"GOAL Chelsea 2-0 Crystal Palace (66 mins)

Kurt Zouma heads in a cross to double the hosts' advantage

#CHECRY",2020-10-03 13:06:57,['CHECRY'],"Nutritionist👩‍🍳||
UNN Lion🦁||
GGMU🎖@ManUtd||
#iCON🥂",9ja🤡,1718,7344,2016-08-17 15:38:45,220
phil_sakyi,Ben Chilwell has lost possession (5) more times than any other player on the pitch against Crystal Palace in the opening 10 minutes.,2020-10-03 13:06:55,[],There’s Nothing Wrong Being A Beginner. No One Starts At The Top...🦅,"Kasoa, Ghana",712,18028,2016-01-07 10:59:25,587
Alextelles27_,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:06:54,['CHECRY'],"The parody account of alex telles, football player for @ManUtd & 🇧🇷","England, United Kingdom",22646,31644,2020-02-24 12:55:43,120
sarathvj09,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 13:06:54,[],@actorvijay anna thambi 🔥|🅵🆁🅴🅰🅺🆈 🅵🅾🆇|  |🅹🆄🆂🆃🅸🅽 fever 🎵|    |SH∪®∪ Ł∪ν 🐁| |wξ¡®Ð l¡m¡tless||Crazy about England 😘|,Tamilnadu,346,4729,2014-03-22 05:25:23,5571
FinnWonderland,"Can Chelsea break Crystal Palace down? Will the visitors create chances of their own?

Follow the second half here ✍️",2020-10-03 13:06:53,[],"Official Twitter account I'm áril.. Even If Things are painful and tough, people should appreciate what it means to be Alive at All. #BeYourself",,2,380785,2017-07-14 06:12:32,18
Seankleann,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:06:50,['CHECRY'],"Former account @Kleanboy Hacked, Expert in (Import & Export) Logistics. Avoid me if you don’t want the TRUTH. @arsenal ❤️",Emirate Stadium London/Lagos,21387,123347,2016-08-15 15:29:13,120
habeeb_adesina,"Crystal Palace have had 0 shots on target. 

Silva and Zouma is the way forward man.",2020-10-03 13:06:47,[],Allah first🤲💫|Student📚|Accountant🎓😊|Chelsea fan💙|TACHA😍❤️❤️__|DAVIDO🦁👑❤️_|CR7 🐐👑_|Titan🔱🔱.,"Ogun, Nigeria",387,57788,2016-03-25 18:56:14,171
LM_0200,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 13:06:46,[],Fuck Steve Bruce #BruceOut,,127,11392,2020-01-02 23:30:55,5571
wojtek1017,"Goal - ZOUMA
Assist - CHILWELL

Chelsea 2-0 Crystal Palace (66 mins)

#FPL #CHECRY",2020-10-03 13:06:45,"['FPL', 'CHECRY']",,,7,391,2015-08-24 10:49:40,253
nkathaQ,"GOAL!

A goal and now an assist for Ben Chilwell 👌

Kurt Zouma heads it in and Lampard looks thrilled.

Chelsea 2-0 Crystal Palace

Listen: @5liveSport 
Follow: https://t.co/dvVR0n0ax5

#bbcfootball #CHECRY https://t.co/X057WV9kdB",2020-10-03 13:06:41,[],Military| Omnivorous Reader | Ulinzi Stars FC | MUFC |,KENYA,724,14473,2012-04-10 17:07:33,23
ManLikeK_,Palace have been really bad. Chelsea have strangled them all game tbf,2020-10-03 13:06:40,[],#MakeArsenalGreatAgain,everywhere,240,161053,2019-08-13 21:29:35,0
mexverh,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:06:39,['CHECRY'],"Proudly Muslim 🏰|
Team United 🔴⚽|
Memes💯😍|
Ronaldo FC 💯|",Nigeria,14611,35932,2014-10-22 19:14:38,120
moreworld75,"Live STREAM 📡online 📡

Chelsea vs Crystal Palace | Second half ⏱️

🤩 ♣

📺Watch NOW

Link1⃣ https://t.co/n7FRfG1SdS

Link2⃣ https://t.co/n7FRfG1SdS

Link3⃣ https://t.co/n7FRfG1SdS

Link4⃣ https://t.co/n7FRfG1SdS

#️⃣ #CHECRY

Hits Like &amp; Retweet https://t.co/mb78l0Z0FY",2020-10-03 13:06:39,['CHECRY'],,Medellin Colombia.,3,48,2013-03-28 22:14:46,0
S_M_R___,"Around 18m of the fee for Brewster is guaranteed, with the rest (5.5m) reliant in performance-related add-ons. Brewster held talks with Crystal Palace but was enthused about moving to Sheffield United after a passionate pitch from Chris Wilder. [athletic]

#twitterblades #sufc https://t.co/46UCSAnYZE",2020-10-03 13:06:39,[],,,2851,113201,2010-01-06 21:25:35,27
alamin_ghost,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:06:38,['CHECRY'],"future pilot 👩‍✈️ I sell/buy cars, cars facilitator 🚘 sarkin mota🥂 G&J CROC CITY CARS","ABUJA, KADUNA. ",76920,41425,2019-10-09 22:08:32,120
AaronCuddeback,"#CHECRY https://t.co/1UObzfo0P5 
Premier League
LIVE*
Chelsea vs Crystal Palace

#Chelsea
2
#Crystal Palace FC
0
Live - 72 

#bigdata
#AI #IoT #Tech #USA #Linux #UK #javaScript #FinTech #dataScience #dataScientist #WomwnWhoCode #Rstats #FemTech #100daysOfCode #FRENCHtech #France",2020-10-03 13:06:37,"['CHECRY', 'Chelsea', 'Crystal']","Midlife Coder
Father, Entrepreneur, CEO, Software Developer,  Fearless.
owner: https://t.co/YVyJ5hCGlt","Sacramento, CA",14760,978097,2011-06-04 14:57:55,28
Big__Stepper,"GOAL Chelsea 2-0 Crystal Palace (66 mins)

Kurt Zouma heads in a cross to double the hosts' advantage

#CHECRY",2020-10-03 13:06:37,['CHECRY'],🍸🍸,,236,40247,2020-06-02 22:39:50,220
Maureen_eze39,"Chelsea defend I have on my FPL is sitting comfortably and breathing fine on the bench. 

Please Crystal palace score one goal and ruin their clean sheet. https://t.co/JBPwZe7ack",2020-10-03 13:06:37,[],I'm a fun loving girl who is friendly and likes socialising with people #EmmyRichie FC✨,Nigeria,6721,224996,2018-11-09 18:35:37,8
Iamtobiloba__,"FC Groningen - Ajax
Barcelona - Sevilla
Levante - Real Madrid
Manchester United - Tottenham
Crystal Palace - Chelsea
Leeds United - Manchester City
Aston Villa - Liverpool
Lazio - Inter
Juventus - Napoli
Bayern Munich - Hertha BSC

Last weekend before the International break. 🔥",2020-10-03 13:06:36,[],"Future JeFf || posty || hazardeden || CR7|| Trae Young|| Memphis
|| OluwaBurna ||Student||
Ifb",OutSide ✨,3228,24096,2020-04-19 16:40:08,153
itz_srk,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:06:35,['CHECRY'],Founder/Ceo: x_collection📌 WhatsApp/📞 09092639873 Click to visit our IG page👇🏼,"x\c store, kaduna",17542,53033,2011-07-12 20:25:18,120
_Shamsiya,"GOAL Chelsea 2-0 Crystal Palace (66 mins)

Kurt Zouma heads in a cross to double the hosts' advantage

#CHECRY",2020-10-03 13:06:35,['CHECRY'],"One day,.....I'll be no more.💔....


#abusite....


COYG!🔴",INAPINEAPPLEUNDERTHESEA,1113,9178,2018-06-23 15:01:33,220
ojharbord,"76' Brilliant from Hudson-Odoi as he beats his man and crosses to Abraham. The striker should score, but heads wide. #cfc https://t.co/dbiesYR7LE",2020-10-03 13:06:34,['cfc'],Chelsea FC correspondent for https://t.co/wCsmKxTDuE. Views are my own. #cfc #chelsea,London,27983,18882,2009-11-11 17:16:18,1
4pfawaz,@Czooba @Vintage_Utd Couldn’t even beat Crystal Palace 😁,2020-10-03 13:06:34,[],,Hidden Cloud Village,895,2759,2017-02-21 21:01:30,0
Kene_n02,"GOAL Chelsea 2-0 Crystal Palace (66 mins)

Kurt Zouma heads in a cross to double the hosts' advantage

#CHECRY",2020-10-03 13:06:31,['CHECRY'],Old Account got suspended|@ManUtd🔴⚫|Good Vibes💯|Football & Life Enthusiast|Relatable Tweets (Some ain't mine)|Humanity is my religion❤,Nigeria,1451,30338,2020-03-31 19:17:36,220
Mareeyahh1,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:06:30,['CHECRY'],main acct @mareeyerhh restricted,Kaduna,9717,3610,2020-08-12 11:48:45,120
harisamjad_,"GOAL Chelsea 2-0 Crystal Palace (66 mins)

Kurt Zouma heads in a cross to double the hosts' advantage

#CHECRY",2020-10-03 13:06:30,['CHECRY'],Simple guy who loves playing fifa and love cars more than humans #ChelseaFC,"Islamabad, Pakistan",3659,56704,2013-09-08 11:36:31,220
Deeva4dlord,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:06:29,['CHECRY'],CEO/Founder HHWD(totally dedicated to putting a smile on orphan's faces) #TwitterRadio (TR) .DM for business & promo. Manchester United Fan🇮🇲,Lagos,78115,332638,2011-01-09 21:34:46,120
UtdBlancoo,Crystal Palace back to being Crystal Palace after that one good game a season against United 👍🏻,2020-10-03 13:06:29,[],Manchester United ❤,,2734,10349,2017-12-30 11:54:06,108
TatafoGuy,"Chelsea fans, what XI do you want to see against Crystal Palace today? 🤔

#CHECRY",2020-10-03 13:06:28,['CHECRY'],Manchester United                                 EveryThing Facts and Review,Nigeria,367,2070,2016-12-16 23:51:17,51
VllLekma,"Goal - ZOUMA
Assist - CHILWELL

Chelsea 2-0 Crystal Palace (66 mins)

#FPL #CHECRY",2020-10-03 13:06:27,"['FPL', 'CHECRY']",Old Account Blocked @lekmaVll,,1096,15948,2020-04-01 07:15:31,253
_darniyel,@whoismorj because of one cross against Crystal Palace?,2020-10-03 13:06:26,[],"Don't bother scrolling through my media, my picture isn't there. don't check my likes😏","Port Harcourt, Nigeria",2611,26113,2013-07-25 22:52:44,0
masud_basheer,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:06:26,['CHECRY'],"At the end we all die,Slowly but certainly😩 || ihustle 24/8 || phones 📲 & Accessories || laptops 💻 || Wristwatches || So help me Allah🤲🏻",Somewhere i don’t belong,9907,51649,2015-03-27 10:39:13,120
zouzdu94230,"Kai Havertz in the first half against Crystal Palace:

◉ 100% aerial duels won
◉ =Most chances created (2)
◉ =Most tackles (2)
◉ =Most clearances (2)

Doing it all for the Blues. https://t.co/pgC6o96sPr",2020-10-03 13:06:24,[],👻zouz94230👻 #Mancunien #225,,855,223161,2012-08-10 11:03:41,1329
pelehudson,Standard Crystal Palace brilliant at united since then lost both games,2020-10-03 13:06:23,[],sponsored by the KLF justified and ancient,blackpool,64,7163,2011-06-02 20:32:44,0
lizweC,"Time Werner vs Crystal Palace, movement, speed and deadly finishing. https://t.co/jasf7ZwAf0",2020-10-03 13:06:20,[],@MicSetMatch host | My views,Harare,2672,64286,2010-11-20 07:29:43,43
CarefreeMazz,"Can’t say United are near Chelsea’s level just by the two performances against Palace. Palace went to old Trafford and attacked, at the bridge they have to low block park the bus. Clear levels.",2020-10-03 13:06:20,[],"London is blue, #KTBFFH","London, England",306,244,2020-07-08 09:58:38,0
akeula_trendy,"Chelsea defend I have on my FPL is sitting comfortably and breathing fine on the bench. 

Please Crystal palace score one goal and ruin their clean sheet. https://t.co/JBPwZe7ack",2020-10-03 13:06:20,[],CEO @AkeulaWears|Success Influencer|Business Coach|AFRICAN YOUTH EMPOWERMENT🔗”Let’s talk SMEs”📩pr@akeulatrendy.com.ng | https://t.co/jtIkyLSqzR,Africa,28204,310336,2012-09-05 10:07:01,8
OsaiworldEmpire,See the way this crystal palace boys are playing. If they were playing against @ManUtd now they will be playing as if they are @FCB,2020-10-03 13:06:19,[],"Destined to excel Jer 29:11   
Happily married with wonderful kids.
Proudly Yoruba. #MUFC",Google Earth,728,8062,2009-12-01 09:52:18,0
whilson_douglas,"GOAL Chelsea 2-0 Crystal Palace (66 mins)

Kurt Zouma heads in a cross to double the hosts' advantage

#CHECRY",2020-10-03 13:06:18,['CHECRY'],,EARTH,1065,32308,2017-06-29 17:33:12,220
JayHundo11,"Ben Chilwell against Crystal Palace today:

1 Goal
1 Assist 

Luke Shaw in the Premier League last season:

0 Goals
0 Assists 

#CHECRY",2020-10-03 13:06:18,[],,"England, United Kingdom",547,40657,2016-06-11 09:54:14,5
min_Arzul,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 13:06:17,[],"LIONEL MESSI❤
Argentina 🇦🇷     #เด็กป๋าเมส #AdamDriver #ChrisBrown #ShiaLabeouf

' A long time ago in a galaxy far ,far away '",,35,19800,2014-01-16 12:42:24,5571
Sumo08112,"Palace got it spot on against Southampton, and against Manchester United. The Everton game wasn't a poor performance but this has been all wrong today.

Not because sitting deep and trying to frustrate Chelsea is a bad idea, but because doing it without any attacking threat is.",2020-10-03 13:06:16,[],Its fuck Roy till he plays Eze in CAM,,87,3164,2020-01-28 23:00:26,7
CxllumMoore,"Time Werner vs Crystal Palace, movement, speed and deadly finishing. https://t.co/jasf7ZwAf0",2020-10-03 13:06:14,[],The Arsenal.,,519,10577,2013-08-30 21:25:42,43
amirulhzm_,"Goal - ZOUMA
Assist - CHILWELL

Chelsea 2-0 Crystal Palace (66 mins)

#FPL #CHECRY",2020-10-03 13:06:10,"['FPL', 'CHECRY']","If you're out there somewhere, just know that we are breathing the same air, staring at the same moon",,163,96323,2016-02-08 07:36:36,253
1st_Chidi,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 13:06:08,[],"Igbo/
MJ baby is your baby",higher heavens,1459,43204,2018-03-31 00:41:08,5571
BidhaekD,"Goal - ZOUMA
Assist - CHILWELL

Chelsea 2-0 Crystal Palace (66 mins)

#FPL #CHECRY",2020-10-03 13:06:08,"['FPL', 'CHECRY']","भेट्न जति सजिलो हुन्छ छुट्न त्यो भन्दा पनि गाह्रो हुन्छ, जसलाई जिन्दगीमा पाउन सक्दिन उहीँ चाहिँ किन प्यारो हुन्छ? !!😫 #माया।",Nepal,115,1535,2019-10-13 03:04:01,253
itsm28,"Time Werner vs Crystal Palace, movement, speed and deadly finishing. https://t.co/jasf7ZwAf0",2020-10-03 13:06:08,[],hardcore bayern fan | David brooks stan account,SE28| cants. ,1259,45263,2015-10-05 21:21:15,43
laure4me,"@premierleague Chelsea’s fans though🤦‍♀️ with just one game against crystal palace, Chilwell has become the best in Epl...the new mendy is the best keeper in epl 😁😁😁😁😁😁😄😄😄😄😄😄 as he played against the top 6 yet? Asking for a friend though",2020-10-03 13:06:07,[],"Am just a real girl who likes sincerity, honesty and love meeting new people.... football makes me happy and Liverpool is the team💯💃💃💃","Federal Capital Territory, Nig",233,2436,2010-12-29 22:23:16,0
YorubaBoy_,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:06:05,['CHECRY'],"iPromote, DM For Promotion || @ChelseaFC 🏴󠁧󠁢󠁥󠁮󠁧󠁿",Everywhere,21221,31546,2015-08-20 16:30:30,120
LlnuxBot,"#CHECRY https://t.co/1UObzfo0P5 
Premier League
LIVE*
Chelsea vs Crystal Palace

#Chelsea
2
#Crystal Palace FC
0
Live - 72 

#bigdata
#AI #IoT #Tech #USA #Linux #UK #javaScript #FinTech #dataScience #dataScientist #WomwnWhoCode #Rstats #FemTech #100daysOfCode #FRENCHtech #France",2020-10-03 13:06:04,"['CHECRY', 'Chelsea', 'Crystal']","Linux Bot | I retweet Linux | Created by @techydox

https://t.co/DrRaUtSPGJ",Raspberry Pi,2947,401925,2019-11-02 20:25:26,28
success_skinny,"Kai Havertz in the first half against Crystal Palace:

◉ 100% aerial duels won
◉ =Most chances created (2)
◉ =Most tackles (2)
◉ =Most clearances (2)

Doing it all for the Blues. https://t.co/5w1WS98V7F",2020-10-03 13:06:03,[],||• Sarknative/Bhimnative/Fad Lan • ||Founder/CEO Success News || Chelsea💙💙 || DM for Ads & PR Only ||abasssayuti1@gmail.com || +233556769051/+233572856559 ||,"Lagos, Nigeria",4703,8143,2020-07-28 00:15:26,2
AlexM237,Chelsea vs Crystal Palace https://t.co/5N637nNoIA,2020-10-03 13:06:02,[],La democratie est un concept surcôté ! #TrustTheProcess 👻 : alexdibril 📸 : alex._dgn,camp nou,4211,310311,2012-02-04 21:29:50,0
RicardoJose23,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 13:06:02,[],Check!..,Colombia,203,2097,2009-04-14 15:39:13,5571
ManavHarkerni,"GIVEAWAY: If Timo Werner scores and Chelsea win against Crystal Palace in the Premier League tomorrow.

I will give a lucky Chelsea fan ANYWHERE around the world the new 20/21 shirt. 

To enter:

➡️ Follow @WorldWideCheIs 
🔄 RT this tweet

Good luck all. Third time lucky!? #CFC https://t.co/mcxQfr7cPJ",2020-10-03 13:06:02,[],Are you one of /ab baat nahi hoti hai/ or /Usse aaj tak baat nahi hui/?,"Indore, India",45,301,2017-04-20 16:22:22,738
jameswillows,Chelsea making Palace look us.,2020-10-03 13:06:02,[],can't smile wide enough MUFC,,1226,3564,2013-08-04 05:35:08,0
Ulroud,"""I'd rather go to Crystal Palace""

Ousmane Dembele when asked about a potential transfer to Manchester United. https://t.co/hTUJHbVDW0",2020-10-03 13:06:01,[],Comps 🇳🇴,Norge,3304,4668,2016-02-05 10:35:17,1
King_BascoTech,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 13:05:58,[],"Futarian
Web Developer 
Wordpress Guru
Motion Graphic Designer
Graphic Designer
3D Modeling
Chelsea Fc Fan",King Basco Land.,378,516,2018-03-01 12:51:24,5571
rainirodney,"GOAL Chelsea 1-0 Crystal Palace (50 mins)

Ben Chilwell lashes the ball into the back of the net at the back post to give Chelsea the lead

#CHECRY",2020-10-03 13:05:57,[],,,351,598,2011-04-16 18:10:43,268
yusufdili_,"Goal - ZOUMA
Assist - CHILWELL

Chelsea 2-0 Crystal Palace (66 mins)

#FPL #CHECRY",2020-10-03 13:05:56,"['FPL', 'CHECRY']",I'm normal in the day but at night turn to a MONSTER🥴,"Abuja, Nigeria",912,78709,2014-09-26 12:52:16,253
marlon_obey,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 13:05:55,[],"Real hustlers don't sleep, we take a nap",Pluto,372,107756,2012-08-01 23:17:28,5571
Bode_Bankz,"Havertz finds Werner in space on the left just inside the Palace box after a brilliant run, but the German's subsequent strike is straight at Guaita, who collects comfortably. 

🔵 0-0 🦅 [20'] #CHECRY",2020-10-03 13:05:54,[],Genixautos🔥🔥🔥,"Lagos, Nigeria",1501,64272,2010-09-24 14:05:12,185
Susu_Omo,"Kai Havertz in the first half against Crystal Palace:

◉ 100% aerial duels won
◉ =Most chances created (2)
◉ =Most tackles (2)
◉ =Most clearances (2)

Doing it all for the Blues. https://t.co/pgC6o96sPr",2020-10-03 13:05:54,[],"Follower Of Christ,
Baker,
Cake Decorator,
Sugar Artist
..........
Want an awesome cake?
Call Susu (08081433900)","Lagos, Nigeria",2190,108743,2010-03-22 08:35:29,1329
SteveStevens47,"72: Second Palace sub. 

⬅️ McArthur 
➡️ Riedewald

🔵 2-0 🦅 

#CPFC | #CHECRY https://t.co/1xa91t6w8E",2020-10-03 13:05:53,"['CPFC', 'CHECRY']",I'm A Massive @F1+Football Supporter(@BristolCity+@LFC)+F1/Football News+Daily Polls/Horoscopes/Quotes/Facts #211 #JFT96 #YNWA - @SteveStevens55/50OtherAccounts,"🔴Bristol, England🔴",8488,1190145,2013-02-13 19:36:52,31
Daveyeshume,"Playing against palace u know they will make u work harder than any game u had  for any result u would get be it win or draw.
It doesn't matter how talented u are and I say this as a compliment and a testament to Roy Hodgson organization skills.
#CHECRY",2020-10-03 13:05:52,['CHECRY'],የተባበረች ኢትዮጵያ(A United Ethiopia)🇪🇹/99.9%  tweets About Football /Football fanatic ⚽️/ Marcelo Bielsa Fan Club🙈.,Ethiopia,211,2133,2018-03-03 12:06:10,0
